公司全称,法定主体名称,岗位名称,薪资范围,工作地点,实习类型,实习时长,留用机会,投递链接,完整职责,完整要求,完整技能,抓取日期,截止日期,公司类型,公司行业排名,总分,投递优先级,核验状态,平台,source_job_id,链接状态,链接原因
喜利得（上海）有限公司,喜利得（上海）有限公司,数据分析实习生 Data Analysis Intern,3.3-4.4千,上海·闵行区,实习,,,https://jobs.51job.com/shanghai-mhq/163341775.html?s=sou_sou_soulb&t=0_0&req=audit51_15,,,,2026-04-15 01:33:41,,其他正规外资,基础档,53,过滤,详情已补抓,51job,163341775,OK,
凯士比阀业（常州）有限公司,凯士比阀业（常州）有限公司,技术支持实习生(J10010),200元/天,上海,实习,,,https://jobs.51job.com/shanghai/164610387.html?s=sou_sou_soulb&t=0_0&req=audit51_2,,,,2026-04-15 01:33:41,,其他正规外资,基础档,26,过滤,详情已补抓,51job,164610387,OK,
上海凯士比泵有限公司,上海凯士比泵有限公司,销售支持实习生(J10869),100元/天,上海·闵行区,实习,,,https://jobs.51job.com/shanghai-mhq/171520982.html?s=sou_sou_soulb&t=0_0&req=audit51_8,,,,2026-04-15 01:33:41,,其他正规外资,基础档,26,过滤,详情已补抓,51job,171520982,OK,
上海凯士比泵有限公司,上海凯士比泵有限公司,项目支持实习生(J10868),100元/天,上海·闵行区,实习,,,https://jobs.51job.com/shanghai-mhq/171506241.html?s=sou_sou_soulb&t=0_0&req=audit51_15,,,,2026-04-15 01:33:41,,其他正规外资,基础档,26,过滤,详情已补抓,51job,171506241,OK,
普立万企业管理（上海）有限公司,普立万企业管理（上海）有限公司,Intern(NonTech),3千及以下,上海·浦东新区,实习,,,https://jobs.51job.com/shanghai-pdxq/171588695.html?s=sou_sou_soulb&t=0_0&req=audit51_1,,,,2026-04-15 01:33:41,,其他正规外资,基础档,20,过滤,详情已补抓,51job,171588695,OK,
麦格纳汽车技术（上海）有限公司,麦格纳汽车技术（上海）有限公司,Operational Excellence Intern,160元/天,上海·长宁区,实习,,,http://campus.51job.com/2022magna/details.html?jobid=170964991,麦格纳 科技创新 工作在麦格纳 校园招聘 加入我们 关于我们 大有可为 Dream big； And join our team； 无匹配信息 实习生/助理工程师 (应届生) 广州 2025-08-29发布 立即申请 qqqqqqqqqqqqqqqqqqqqqqq --> 关注我们 微信扫码关注公众号 未经51job,不得转载本网站之所有招聘信息及作品；无忧工作网版权所有©1999 - 2025 微信扫码关注公众号 为了更好的呈现效果；移动端请竖屏浏览,r,2026-04-15 01:33:41,2025-08-29,其他正规外资,基础档,28,过滤,详情已补抓,51job,170964991,OK,
泰科电子（上海）有限公司,泰科电子（上海）有限公司,Intern(Machine Vision),,上海·徐汇区,实习,,,http://te.51job.com/show_job_detail.html?jobid=171104038,,,,2026-04-15 01:33:41,,其他正规外资,基础档,20,过滤,详情已补抓,51job,171104038,OK,
喜利得（上海）有限公司,喜利得（上海）有限公司,HR Intern - Training & Development,3.3-4.4千,上海·闵行区,实习,,,https://jobs.51job.com/shanghai-mhq/170730930.html?s=sou_sou_soulb&t=0_0&req=audit51_6,,,,2026-04-15 01:33:41,,其他正规外资,基础档,28,过滤,详情已补抓,51job,170730930,OK,
泰科电子（上海）有限公司,泰科电子（上海）有限公司,数字化实习生-AI方向,170元/天,上海·徐汇区,实习,,,http://te.51job.com/show_job_detail.html?jobid=169459511,,,,2026-04-15 01:33:41,,其他正规外资,基础档,20,过滤,详情已补抓,51job,169459511,OK,
泰科电子（上海）有限公司,泰科电子（上海）有限公司,INTERN(Al project）,,上海·徐汇区,实习,,,http://te.51job.com/show_job_detail.html?jobid=171072545,,,,2026-04-15 01:33:41,,其他正规外资,基础档,20,过滤,详情已补抓,51job,171072545,OK,
